Остановить перевод|Stop translation|Arrêter la traduction|Detener la traducción|停止翻译|أوقف الترجمة
Не удалось включить звук. Попробуйте еще раз.|Could not play audio. Please try again.|Impossible de lire l’audio. Réessayez.|No se pudo reproducir el audio. Inténtalo de nuevo.|无法播放音频，请重试。|تعذر تشغيل الصوت. حاول مرة أخرى.
Пример завершен. Выберите другой язык или послушайте еще раз.|The sample has ended. Choose another language or listen again.|L’exemple est terminé. Choisissez une autre langue ou réécoutez.|El ejemplo ha terminado. Elige otro idioma o vuelve a escucharlo.|示例已结束。请选择其他语言或再次收听。|انتهى النموذج. اختر لغة أخرى أو استمع مرة أخرى.
Аудиозапись временно недоступна. Попробуйте еще раз.|Audio is temporarily unavailable. Please try again.|L’audio est temporairement indisponible. Réessayez.|El audio no está disponible temporalmente. Inténtalo de nuevo.|音频暂不可用，请重试。|التسجيل غير متاح مؤقتا. حاول مرة أخرى.
Отправляем заявку|Sending request|Envoi de la demande|Enviando solicitud|正在发送申请|جار إرسال الطلب
Не удалось отправить заявку. Попробуйте еще раз или напишите на sales@agropromcifra.ru.|Could not send your request. Try again or email sales@agropromcifra.ru.|Impossible d’envoyer la demande. Réessayez ou écrivez à sales@agropromcifra.ru.|No se pudo enviar la solicitud. Inténtalo de nuevo o escribe a sales@agropromcifra.ru.|申请发送失败。请重试或发邮件至sales@agropromcifra.ru。|تعذر إرسال الطلب. حاول مرة أخرى أو راسل sales@agropromcifra.ru.
Отправка пока недоступна. Напишите на sales@agropromcifra.ru или позвоните +7 (495) 260-14-16.|Sending is not available yet. Email sales@agropromcifra.ru or call +7 (495) 260-14-16.|L’envoi n’est pas encore disponible. Écrivez à sales@agropromcifra.ru ou appelez le +7 (495) 260-14-16.|El envío aún no está disponible. Escribe a sales@agropromcifra.ru o llama al +7 (495) 260-14-16.|暂时无法发送。请发邮件至sales@agropromcifra.ru或致电+7 (495) 260-14-16。|الإرسال غير متاح بعد. راسل sales@agropromcifra.ru أو اتصل على ‎+7 (495) 260-14-16.
Используйте код из букв и цифр, полученный от организатора.|Use the alphanumeric code provided by the organizer.|Utilisez le code alphanumérique fourni par l’organisateur.|Usa el código de letras y números del organizador.|请使用组织者提供的字母数字代码。|استخدم الرمز المكون من حروف وأرقام الذي قدمه المنظم.
Подключение к комнате|Joining a room|Accès à la salle|Acceso a la sala|加入房间|الانضمام إلى الغرفة
Здесь можно посмотреть демонстрацию интерфейса. Для входа в реальную комнату используйте QR-код или ссылку организатора мероприятия.|This is an interface demo. To join a live room, use the organizer’s QR code or link.|Ceci est une démo de l’interface. Pour rejoindre une vraie salle, utilisez le QR code ou le lien de l’organisateur.|Esta es una demo de la interfaz. Para acceder a una sala real, usa el código QR o el enlace del organizador.|这里是界面演示。加入实际房间请使用活动组织者提供的二维码或链接。|هذا عرض توضيحي للواجهة. لدخول غرفة حقيقية، استخدم رمز QR أو رابط منظم الفعالية.
Документ будет подключен вместе с формами на Tilda. До подключения формы не передают и не сохраняют введенные данные.|The document will be linked when Tilda forms are connected. Until then, forms do not send or save entered data.|Le document sera ajouté lors de la connexion des formulaires Tilda. D’ici là, aucune donnée saisie n’est transmise ni enregistrée.|El documento se añadirá al conectar los formularios de Tilda. Hasta entonces, no envían ni guardan los datos introducidos.|连接Tilda表单时将添加此文件。在此之前，表单不会发送或保存输入的数据。|ستتم إضافة الوثيقة عند ربط نماذج Tilda. وحتى ذلك الحين، لا ترسل النماذج البيانات المدخلة ولا تحفظها.
