0|Bilingvo|Bilingvo|Bilingvo|Bilingvo|Bilingvo
1|How it works|Comment ça marche|Cómo funciona|使用方法|كيف يعمل
2|Features|Fonctionnalités|Funciones|功能|المزايا
3|Materials|Supports|Materiales|演讲资料|المواد
4|Questions|Questions|Preguntas|常见问题|الأسئلة
5|Choose language|Choisir la langue|Elegir idioma|选择语言|اختر اللغة
6|View demo|Voir la démo|Ver demo|查看演示|شاهد العرض
7|Bilingvo: simultaneous translation for any audience, in real time|Bilingvo : la traduction simultanée pour tous les publics, en temps réel|Bilingvo: traducción simultánea para cualquier público, en tiempo real|Bilingvo：面向各类听众的实时同声翻译|Bilingvo: ترجمة فورية لأي جمهور، في الوقت الحقيقي
8|Participants listen to the translation, read subtitles and view presentation materials in their own language|Les participants écoutent la traduction, lisent les sous-titres et consultent les supports dans leur langue|Los participantes escuchan la traducción, leen subtítulos y consultan los materiales en su idioma|参与者可以用自己的语言收听翻译、阅读字幕并查看演讲资料|يستمع المشاركون إلى الترجمة ويقرؤون الترجمة النصية ويطالعون مواد العرض بلغتهم
9|Just scan a QR code or enter a room code in your browser. No apps or specialized equipment required|Il suffit de scanner un QR code ou de saisir un code de salle dans le navigateur. Aucune application ni aucun équipement spécialisé requis|Solo hay que escanear un código QR o introducir el código de sala en el navegador. No se necesitan aplicaciones ni equipos especializados|只需扫描二维码或在浏览器中输入房间代码，无需安装应用或使用专用设备|يكفي مسح رمز QR أو إدخال رمز الغرفة في المتصفح. لا حاجة إلى تثبيت تطبيقات أو استخدام معدات متخصصة
10|Watch a translation sample (15 min)|Voir un exemple de traduction (15 min)|Ver un ejemplo de traducción (15 min)|观看翻译示例（15分钟）|شاهد نموذج ترجمة (15 دقيقة)
11|Discuss your project|Parlons de votre projet|Hablemos de tu proyecto|讨论您的项目|ناقش مشروعك
12|Have a room code?|Vous avez un code de salle ?|¿Tienes un código de sala?|已有房间代码？|هل لديك رمز غرفة؟
13|Join as a listener|Rejoignez la salle en tant qu’auditeur|Únete como oyente|以听众身份加入|انضم كمستمع
14|Room code|Code de salle|Código de sala|房间代码|رمز الغرفة
15|Join|Rejoindre|Unirse|加入|انضم
16|Translation live · Russian|Traduction en cours · Russe|Traducción en curso · Ruso|正在翻译 · 俄语|الترجمة جارية · الروسية
17|Select a language|Choisissez une langue|Selecciona un idioma|选择语言|اختر لغة
18|Interactive demo|Démo interactive|Demo interactiva|互动演示|عرض تفاعلي
19|Choose a language and|Choisissez une langue et|Elige un idioma y|选择语言，然后|اختر لغة ثم
20|tap the icon|appuyez sur l’icône|pulsa el icono|点击图标|اضغط على الأيقونة
21|Every participant hears the presentation in their own language|Chaque participant écoute la présentation dans sa langue|Cada participante escucha la presentación en su idioma|每位参与者都能用自己的语言聆听演讲|كل مشارك يستمع إلى العرض بلغته
22|Speech and presentation materials on one screen. Listen to the translation and follow the talk in your language.|La parole et les supports sur un même écran. Écoutez la traduction et suivez la présentation dans votre langue.|Voz y materiales en una sola pantalla. Escucha la traducción y sigue la presentación en tu idioma.|语音和演讲资料尽在同一屏幕。用自己的语言收听翻译、跟进演讲。|الكلام ومواد العرض على شاشة واحدة. استمع إلى الترجمة وتابع العرض بلغتك.
23|Company or venue|Entreprise ou lieu|Empresa o recinto|公司或场地|الشركة أو المكان
